Image,Name,Rarity,Occupation,Species,Color,Box
1,ZEI-6-MM2455,Legendary,Sage,Monkey Charlie,Black,Gold
2,ZEI-6-MM1849,Legendary,Sage,Rabbit Tracy,Black,Gold
3,ZEI-6-MM2698,Legendary,Sage,Monkey Blake,Brown,Gold
4,ZEI-6-MM8347,Legendary,Sage,Cat Jamie,Black,Gold
5,ZEI-6-MM2767,Legendary,Sage,Owl Aubrey,White,Gold
6,ZEI-6-MM5023,Legendary,Sage,Dog Drew,Black,Gold
7,ZEI-6-MM1710,Legendary,Sage,Cat Casey,Black,Gold
8,ZEI-6-MM3439,Legendary,Sage,Monkey Charlie,Brown,Gold
9,ZEI-6-MM4247,Legendary,Sage,Rabbit Peyton,Black,Gold
10,ZEI-6-MM9585,Legendary,Sage,Monkey Frankie,Black,Gold
11,ZEI-6-MM2511,Legendary,Sage,Rabbit Kyle,Black,Gold
12,ZEI-6-MM1491,Legendary,Sage,Monkey Hayden,Brown,Gold
13,ZEI-6-MM7615,Legendary,Sage,Mouse Kerry,Black,Gold
14,ZEI-6-MM6880,Legendary,Sage,Cat Ellis,Black,Gold
15,ZEI-6-MM4499,Legendary,Sage,Cat Ellis,White,Gold
16,ZEI-6-MM6305,Legendary,Sage,Rabbit Peyton,White,Gold
17,ZEI-6-MM6311,Legendary,Sage,Owl Taylor,Black,Gold
18,ZEI-6-MM6694,Legendary,Sage,Mouse Rory,Black,Gold
19,ZEI-6-MM1500,Legendary,Sage,Monkey Parker,Black,Gold
20,ZEI-6-MM4736,Legendary,Sage,Owl Aubrey,Black,Gold
21,ZEI-6-MM9126,Legendary,Sage,Cat Skyler,White,Gold
22,ZEI-6-MM3220,Legendary,Sage,Mouse Mackenzie,White,Gold
23,ZEI-6-MM3895,Legendary,Sage,Monkey Dakota,White,Gold
24,ZEI-6-MM2285,Legendary,Sage,Cat Jamie,White,Gold
25,ZEI-6-MM6032,Legendary,Sage,Cat Dylan,White,Gold
26,ZEI-6-MM5949,Legendary,Sage,Owl Taylor Brown,Brown,Gold
27,ZEI-6-MM6009,Legendary,Sage,Mouse Rory,White,Gold
28,ZEI-6-MM3562,Legendary,Sage,Mouse Avery,White,Gold
29,ZEI-6-MM5904,Legendary,Sage,Bear Riley,brown,Gold
30,ZEI-6-MM3197,Legendary,Sage,Dog Bailey,White,Gold
31,ZEI-6-MM6425,Legendary,Sage,Bear Dana,Black,Gold
32,ZEI-6-MM5771,Legendary,Sage,Rabbit Tracy,White,Gold
33,ZEI-6-MM6896,Epic,Warrior,Monkey Blake,Black,Gold
34,ZEI-6-MM9435,Epic,Warrior,Dog Pat,Black,Gold
35,ZEI-6-MM1975,Epic,Warrior,Rabbit Peyton,Black,Gold
36,ZEI-6-MM3728,Epic,Warrior,Rabbit Logan,White,Gold
37,ZEI-6-MM6356,Epic,Warrior,Dog Cameron,White,Gold
38,ZEI-6-MM1978,Epic,Warrior,Cat Rowan,White,Gold
39,ZEI-6-MM5322,Epic,Warrior,Rabbit Ashton,White,Gold
40,ZEI-6-MM2799,Epic,Future Warrior,Rabbit Tracy,White,Gold
41,ZEI-6-MM6890,Epic,Future Warrior,Mouse Rory,Black,Gold
42,ZEI-6-MM3059,Epic,Future Warrior,Monkey Hayden,Black,Gold
43,ZEI-6-MM8059,Epic,Future Warrior,Rabbit Kyle,Black,Gold
44,ZEI-6-MM3484,Epic,Future Warrior,Rabbit Logan,White,Gold
45,ZEI-6-MM5295,Epic,Future Warrior,Cat Harper,White,Gold
46,ZEI-6-MM8862,Epic,Future Warrior,Monkey Charlie,Brown,Gold
47,ZEI-6-MM4008,Epic,Future Warrior,Monkey Frankie,White,Gold
48,ZEI-6-MM9316,Epic,Future Warrior,Owl Devin,White,Gold
49,ZEI-6-MM5983,Epic,Future Warrior,Rabbit Jesse,White,Gold
50,ZEI-6-MM8649,Epic,Future Warrior,Owl Taylor Brown,Brown,Gold
51,ZEI-6-MM1040,Epic,Future Warrior,Dog Noel,White,Gold
52,ZEI-6-MM5053,Epic,Future Warrior,Dog Hunter,Black,Gold
53,ZEI-6-MM5371,Epic,Mighty Warrior,Rabbit Ashton,Black,Gold
54,ZEI-6-MM3252,Epic,Mighty Warrior,Cat Adrian,White,Gold
55,ZEI-6-MM7199,Epic,Mighty Warrior,Rabbit Finley,White,Gold
56,ZEI-6-MM5671,Epic,Mighty Warrior,Mouse Avery,Black,Gold
57,ZEI-6-MM3177,Epic,Mighty Warrior,Dog Kai,Black,Gold
58,ZEI-6-MM7082,Epic,Mighty Warrior,Cat Ellis,White,Gold
59,ZEI-6-MM3757,Epic,Mighty Warrior,Cat Jamie,White,Gold
60,ZEI-6-MM8576,Epic,Ronin,Rabbit Logan,Black,Gold
61,ZEI-6-MM5515,Epic,Ronin,Dog Hunter,White,Gold
62,ZEI-6-MM1594,Epic,Ronin,Cat Adrian,White,Gold
63,ZEI-6-MM9591,Epic,Ronin,Dog Emerson,Black,Gold
64,ZEI-6-MM4624,Epic,Ronin,Monkey Dakota,White,Gold
65,ZEI-6-MM2994,Epic,Ronin,Rabbit Peyton,White,Gold
66,ZEI-6-MM3237,Epic,Ronin,Cat Lane,Black,Gold
67,ZEI-6-MM9208,Epic,Ronin,Cat Jamie,White,Gold
68,ZEI-6-MM1490,Epic,Ronin,Monkey Charlie,Black,Gold
69,ZEI-6-MM7545,Epic,Ronin,Mouse Rory,White,Gold
70,ZEI-6-MM4148,Epic,Ronin,Monkey Ripley,Brown,Gold
71,ZEI-6-MM2014,Epic,Ronin,Dog Noel,Black,Gold
72,ZEI-6-MM6304,Epic,Swordsman,Cat Dylan,Black,Gold
73,ZEI-6-MM2894,Epic,Swordsman,Dog Drew,White,Gold
74,ZEI-6-MM9352,Epic,Swordsman,Monkey Charlie,Black,Gold
75,ZEI-6-MM4378,Epic,Swordsman,Mouse Spencer,Black,Gold
76,ZEI-6-MM8082,Epic,Swordsman,Monkey Dakota,White,Gold
77,ZEI-6-MM1882,Epic,Swordsman,Dog Cameron,Black,Gold
78,ZEI-6-MM1115,Epic,Swordsman,Monkey Hayden,Brown,Gold
79,ZEI-6-MM5133,Epic,Swordsman,Mouse Rory,White,Gold
80,ZEI-6-MM3133,Epic,Ninja,Mouse Rory,White,Gold
81,ZEI-6-MM8185,Epic,Ninja,Cat Lane,Black,Gold
82,ZEI-6-MM7404,Epic,Ninja,Cat Rowan,Black,Gold
83,ZEI-6-MM4271,Epic,Ninja,Monkey Ripley,Brown,Gold
84,ZEI-6-MM4670,Epic,Ninja,Cat Jamie,White,Gold
85,ZEI-6-MM3391,Epic,Ninja,Cat Marley,White,Gold
86,ZEI-6-MM9900,Epic,Ninja,Cat Casey,White,Gold
87,ZEI-6-MM5139,Epic,Ninja,Rabbit Ashton,Black,Gold
88,ZEI-6-MM8478,Epic,Ninja,Cat Harper,Black,Gold
89,ZEI-6-MM9210,Epic,Ninja,Owl Aubrey,White,Gold
90,ZEI-6-MM5745,Epic,Ninja,Mouse Kerry,White,Gold
91,ZEI-6-MM8885,Epic,Phantom,Cat Blair,Black,Gold
